answer,answer_pct,cell_pct,election,question,question_number,state,vote_group
45 and older,56.0,53.0,president,Age,3,National,Trump
45 and older,56.0,3.0,president,Age,3,National,Other/No Answer
White,70.0,37.0,president,Race,4,National,Clinton
White,70.0,58.0,president,Race,4,National,Trump
White,70.0,5.0,president,Race,4,National,Other/No Answer
Black,12.0,88.0,president,Race,4,National,Clinton
Black,12.0,8.0,president,Race,4,National,Trump
Black,12.0,4.0,president,Race,4,National,Other/No Answer
Latino,11.0,65.0,president,Race,4,National,Clinton
Latino,11.0,29.0,president,Race,4,National,Trump
Latino,11.0,6.0,president,Race,4,National,Other/No Answer
Asian,4.0,65.0,president,Race,4,National,Clinton
Asian,4.0,29.0,president,Race,4,National,Trump
Asian,4.0,6.0,president,Race,4,National,Other/No Answer
Other race,3.0,56.0,president,Race,4,National,Clinton
Other race,3.0,37.0,president,Race,4,National,Trump
Other race,3.0,7.0,president,Race,4,National,Other/No Answer
White,70.0,37.0,president,Race,5,National,Clinton
White,70.0,58.0,president,Race,5,National,Trump
White,70.0,5.0,president,Race,5,National,Other/No Answer
Non-white,30.0,74.0,president,Race,5,National,Clinton
Non-white,30.0,21.0,president,Race,5,National,Trump
Non-white,30.0,5.0,president,Race,5,National,Other/No Answer
White men,34.0,31.0,president,Race and gender,6,National,Clinton
White men,34.0,63.0,president,Race and gender,6,National,Trump
White men,34.0,6.0,president,Race and gender,6,National,Other/No Answer
White women,37.0,43.0,president,Race and gender,6,National,Clinton
White women,37.0,53.0,president,Race and gender,6,National,Trump
White women,37.0,4.0,president,Race and gender,6,National,Other/No Answer
Black men,5.0,80.0,president,Race and gender,6,National,Clinton
Black men,5.0,13.0,president,Race and gender,6,National,Trump
Black men,5.0,7.0,president,Race and gender,6,National,Other/No Answer
Black women,7.0,94.0,president,Race and gender,6,National,Clinton
Black women,7.0,4.0,president,Race and gender,6,National,Trump
Black women,7.0,2.0,president,Race and gender,6,National,Other/No Answer
Latino men,5.0,62.0,president,Race and gender,6,National,Clinton
Latino men,5.0,33.0,president,Race and gender,6,National,Trump
Latino men,5.0,5.0,president,Race and gender,6,National,Other/No Answer
Latino women,6.0,68.0,president,Race and gender,6,National,Clinton
Latino women,6.0,26.0,president,Race and gender,6,National,Trump
Latino women,6.0,6.0,president,Race and gender,6,National,Other/No Answer
Others,6.0,61.0,president,Race and gender,6,National,Clinton
Others,6.0,32.0,president,Race and gender,6,National,Trump
Others,6.0,7.0,president,Race and gender,6,National,Other/No Answer
Whites 18-29,12.0,43.0,president,Age by race,7,National,Clinton
Whites 18-29,12.0,48.0,president,Age by race,7,National,Trump
Whites 18-29,12.0,9.0,president,Age by race,7,National,Other/No Answer
Latinos 30-44,3.0,71.0,president,Age by race,7,National,Clinton
Latinos 30-44,3.0,22.0,president,Age by race,7,National,Trump
Latinos 30-44,3.0,7.0,president,Age by race,7,National,Other/No Answer
Latinos 45-64,3.0,67.0,president,Age by race,7,National,Clinton
Latinos 45-64,3.0,29.0,president,Age by race,7,National,Trump
Latinos 45-64,3.0,4.0,president,Age by race,7,National,Other/No Answer
Latinos 65 and older,1.0,71.0,president,Age by race,7,National,Clinton
Latinos 65 and older,1.0,24.0,president,Age by race,7,National,Trump
Latinos 65 and older,1.0,5.0,president,Age by race,7,National,Other/No Answer
All others,6.0,60.0,president,Age by race,7,National,Clinton
All others,6.0,34.0,president,Age by race,7,National,Trump
All others,6.0,6.0,president,Age by race,7,National,Other/No Answer
Whites 30-44,17.0,37.0,president,Age by race,7,National,Clinton
Whites 30-44,17.0,55.0,president,Age by race,7,National,Trump
Whites 30-44,17.0,8.0,president,Age by race,7,National,Other/No Answer
Whites 45-64,30.0,34.0,president,Age by race,7,National,Clinton
Whites 45-64,30.0,63.0,president,Age by race,7,National,Trump
Whites 45-64,30.0,3.0,president,Age by race,7,National,Other/No Answer
Whites 65 and older,13.0,39.0,president,Age by race,7,National,Clinton
Whites 65 and older,13.0,58.0,president,Age by race,7,National,Trump
Whites 65 and older,13.0,3.0,president,Age by race,7,National,Other/No Answer
Blacks 18-29,3.0,83.0,president,Age by race,7,National,Clinton
Blacks 18-29,3.0,9.0,president,Age by race,7,National,Trump
Blacks 18-29,3.0,8.0,president,Age by race,7,National,Other/No Answer
Blacks 30-44,4.0,87.0,president,Age by race,7,National,Clinton
Blacks 30-44,4.0,7.0,president,Age by race,7,National,Trump
Blacks 30-44,4.0,6.0,president,Age by race,7,National,Other/No Answer
Blacks 45-64,5.0,90.0,president,Age by race,7,National,Clinton
Blacks 45-64,5.0,9.0,president,Age by race,7,National,Trump
Blacks 45-64,5.0,1.0,president,Age by race,7,National,Other/No Answer
Blacks 65 and older,1.0,90.0,president,Age by race,7,National,Clinton
Blacks 65 and older,1.0,9.0,president,Age by race,7,National,Trump
Blacks 65 and older,1.0,1.0,president,Age by race,7,National,Other/No Answer
Latinos 18-29,2.0,70.0,president,Age by race,7,National,Clinton
Latinos 18-29,2.0,24.0,president,Age by race,7,National,Trump
Latinos 18-29,2.0,6.0,president,Age by race,7,National,Other/No Answer
High school or less,18.0,45.0,president,Education,8,National,Clinton
High school or less,18.0,51.0,president,Education,8,National,Trump
High school or less,18.0,4.0,president,Education,8,National,Other/No Answer
Some college,32.0,43.0,president,Education,8,National,Clinton
Some college,32.0,52.0,president,Education,8,National,Trump
Some college,32.0,5.0,president,Education,8,National,Other/No Answer
College graduate,32.0,49.0,president,Education,8,National,Clinton
College graduate,32.0,45.0,president,Education,8,National,Trump
College graduate,32.0,6.0,president,Education,8,National,Other/No Answer
Postgraduate,18.0,58.0,president,Education,8,National,Clinton
Postgraduate,18.0,37.0,president,Education,8,National,Trump
Postgraduate,18.0,5.0,president,Education,8,National,Other/No Answer
Yes,50.0,52.0,president,Are you a college graduate?,9,National,Clinton
Yes,50.0,43.0,president,Are you a college graduate?,9,National,Trump
Yes,50.0,5.0,president,Are you a college graduate?,9,National,Other/No Answer
No,50.0,44.0,president,Are you a college graduate?,9,National,Clinton
No,50.0,52.0,president,Are you a college graduate?,9,National,Trump
No,50.0,4.0,president,Are you a college graduate?,9,National,Other/No Answer
White college graduates,37.0,45.0,president,Education and race,10,National,Clinton
White college graduates,37.0,49.0,president,Education and race,10,National,Trump
White college graduates,37.0,6.0,president,Education and race,10,National,Other/No Answer
Whites no degree,34.0,28.0,president,Education and race,10,National,Clinton
Whites no degree,34.0,67.0,president,Education and race,10,National,Trump
Whites no degree,34.0,5.0,president,Education and race,10,National,Other/No Answer
Non-whites college grads,13.0,71.0,president,Education and race,10,National,Clinton
Non-whites college grads,13.0,23.0,president,Education and race,10,National,Trump
Non-whites college grads,13.0,6.0,president,Education and race,10,National,Other/No Answer
Non-whites no degree,16.0,75.0,president,Education and race,10,National,Clinton
Non-whites no degree,16.0,20.0,president,Education and race,10,National,Trump
Non-whites no degree,16.0,5.0,president,Education and race,10,National,Other/No Answer
White college-grad women,20.0,51.0,president,Education among whites by sex,11,National,Clinton
White college-grad women,20.0,45.0,president,Education among whites by sex,11,National,Trump
White college-grad women,20.0,4.0,president,Education among whites by sex,11,National,Other/No Answer
White non-college women,17.0,34.0,president,Education among whites by sex,11,National,Clinton
White non-college women,17.0,62.0,president,Education among whites by sex,11,National,Trump
White non-college women,17.0,4.0,president,Education among whites by sex,11,National,Other/No Answer
White college-grad men,17.0,39.0,president,Education among whites by sex,11,National,Clinton
White college-grad men,17.0,54.0,president,Education among whites by sex,11,National,Trump
White college-grad men,17.0,7.0,president,Education among whites by sex,11,National,Other/No Answer
White non-college men,17.0,23.0,president,Education among whites by sex,11,National,Clinton
White non-college men,17.0,72.0,president,Education among whites by sex,11,National,Trump
White non-college men,17.0,5.0,president,Education among whites by sex,11,National,Other/No Answer
Non-whites,29.0,74.0,president,Education among whites by sex,11,National,Clinton
Non-whites,29.0,21.0,president,Education among whites by sex,11,National,Trump
Non-whites,29.0,5.0,president,Education among whites by sex,11,National,Other/No Answer
"Under $30,000",17.0,53.0,president,Income,12,National,Clinton
"Under $30,000",17.0,41.0,president,Income,12,National,Trump
"Under $30,000",17.0,6.0,president,Income,12,National,Other/No Answer
"$30K-$49,999",19.0,51.0,president,Income,12,National,Clinton
"$30K-$49,999",19.0,42.0,president,Income,12,National,Trump
"$30K-$49,999",19.0,7.0,president,Income,12,National,Other/No Answer
"$50K-$99,999",31.0,46.0,president,Income,12,National,Clinton
"$50K-$99,999",31.0,50.0,president,Income,12,National,Trump
"$50K-$99,999",31.0,4.0,president,Income,12,National,Other/No Answer
"$100K-$199,999",24.0,47.0,president,Income,12,National,Clinton
"$100K-$199,999",24.0,48.0,president,Income,12,National,Trump
"$100K-$199,999",24.0,5.0,president,Income,12,National,Other/No Answer
"$200K-$249,999",4.0,48.0,president,Income,12,National,Clinton
"$200K-$249,999",4.0,49.0,president,Income,12,National,Trump
"$200K-$249,999",4.0,3.0,president,Income,12,National,Other/No Answer
"$250,000 or more",6.0,46.0,president,Income,12,National,Clinton
"$250,000 or more",6.0,48.0,president,Income,12,National,Trump
"$250,000 or more",6.0,6.0,president,Income,12,National,Other/No Answer
Under $50K,36.0,52.0,president,Income,13,National,Clinton
Under $50K,36.0,41.0,president,Income,13,National,Trump
Under $50K,36.0,7.0,president,Income,13,National,Other/No Answer
$50K or more,64.0,47.0,president,Income,13,National,Clinton
$50K or more,64.0,49.0,president,Income,13,National,Trump
$50K or more,64.0,4.0,president,Income,13,National,Other/No Answer
Under $100K,67.0,49.0,president,Income,14,National,Clinton
Under $100K,67.0,45.0,president,Income,14,National,Trump
Under $100K,67.0,6.0,president,Income,14,National,Other/No Answer
$100K or more,33.0,47.0,president,Income,14,National,Clinton
$100K or more,33.0,48.0,president,Income,14,National,Trump
$100K or more,33.0,5.0,president,Income,14,National,Other/No Answer
Under $50K,36.0,52.0,president,Income,15,National,Clinton
Under $50K,36.0,41.0,president,Income,15,National,Trump
Under $50K,36.0,7.0,president,Income,15,National,Other/No Answer
$50K-$100K,31.0,46.0,president,Income,15,National,Clinton
$50K-$100K,31.0,50.0,president,Income,15,National,Trump
$50K-$100K,31.0,4.0,president,Income,15,National,Other/No Answer
$100K or more,33.0,47.0,president,Income,15,National,Clinton
$100K or more,33.0,48.0,president,Income,15,National,Trump
$100K or more,33.0,5.0,president,Income,15,National,Other/No Answer
Democrats,37.0,89.0,president,Party ID,16,National,Clinton
Democrats,37.0,9.0,president,Party ID,16,National,Trump
Democrats,37.0,2.0,president,Party ID,16,National,Other/No Answer
Republicans,33.0,7.0,president,Party ID,16,National,Clinton
Republicans,33.0,90.0,president,Party ID,16,National,Trump
Republicans,33.0,3.0,president,Party ID,16,National,Other/No Answer
Independents,31.0,42.0,president,Party ID,16,National,Clinton
Independents,31.0,48.0,president,Party ID,16,National,Trump
Independents,31.0,10.0,president,Party ID,16,National,Other/No Answer
Democratic men,14.0,87.0,president,Party by gender,17,National,Clinton
Democratic men,14.0,10.0,president,Party by gender,17,National,Trump
Democratic men,14.0,3.0,president,Party by gender,17,National,Other/No Answer
Democratic women,23.0,90.0,president,Party by gender,17,National,Clinton
Democratic women,23.0,8.0,president,Party by gender,17,National,Trump
Democratic women,23.0,2.0,president,Party by gender,17,National,Other/No Answer
Republican men,17.0,6.0,president,Party by gender,17,National,Clinton
Republican men,17.0,90.0,president,Party by gender,17,National,Trump
Republican men,17.0,4.0,president,Party by gender,17,National,Other/No Answer
Republican women,16.0,8.0,president,Party by gender,17,National,Clinton
Republican women,16.0,89.0,president,Party by gender,17,National,Trump
Republican women,16.0,3.0,president,Party by gender,17,National,Other/No Answer
Independent men,17.0,37.0,president,Party by gender,17,National,Clinton
Independent men,17.0,51.0,president,Party by gender,17,National,Trump
Independent men,17.0,12.0,president,Party by gender,17,National,Other/No Answer
Independent women,14.0,47.0,president,Party by gender,17,National,Clinton
Independent women,14.0,43.0,president,Party by gender,17,National,Trump
Independent women,14.0,10.0,president,Party by gender,17,National,Other/No Answer
Liberal,26.0,84.0,president,Ideology,18,National,Clinton
Liberal,26.0,10.0,president,Ideology,18,National,Trump
Liberal,26.0,6.0,president,Ideology,18,National,Other/No Answer
Moderate,39.0,52.0,president,Ideology,18,National,Clinton
Moderate,39.0,41.0,president,Ideology,18,National,Trump
Moderate,39.0,7.0,president,Ideology,18,National,Other/No Answer
Conservative,35.0,15.0,president,Ideology,18,National,Clinton
Conservative,35.0,81.0,president,Ideology,18,National,Trump
Conservative,35.0,4.0,president,Ideology,18,National,Other/No Answer
Married,58.0,43.0,president,Marital status,19,National,Clinton
Married,58.0,53.0,president,Marital status,19,National,Trump
Married,58.0,4.0,president,Marital status,19,National,Other/No Answer
Unmarried,42.0,55.0,president,Marital status,19,National,Clinton
Unmarried,42.0,38.0,president,Marital status,19,National,Trump
Unmarried,42.0,7.0,president,Marital status,19,National,Other/No Answer
Married men,29.0,37.0,president,Marital status by gender,20,National,Clinton
Married men,29.0,58.0,president,Marital status by gender,20,National,Trump
Married men,29.0,5.0,president,Marital status by gender,20,National,Other/No Answer
Married women,30.0,49.0,president,Marital status by gender,20,National,Clinton
Married women,30.0,47.0,president,Marital status by gender,20,National,Trump
Married women,30.0,4.0,president,Marital status by gender,20,National,Other/No Answer
Unmarried men,19.0,46.0,president,Marital status by gender,20,National,Clinton
Unmarried men,19.0,45.0,president,Marital status by gender,20,National,Trump
Unmarried men,19.0,9.0,president,Marital status by gender,20,National,Other/No Answer
Unmarried women,23.0,62.0,president,Marital status by gender,20,National,Clinton
Unmarried women,23.0,33.0,president,Marital status by gender,20,National,Trump
Unmarried women,23.0,5.0,president,Marital status by gender,20,National,Other/No Answer
Yes,26.0,16.0,president,White born-again or evangelical Christian?,21,National,Clinton
Yes,26.0,81.0,president,White born-again or evangelical Christian?,21,National,Trump
Yes,26.0,3.0,president,White born-again or evangelical Christian?,21,National,Other/No Answer
No,74.0,59.0,president,White born-again or evangelical Christian?,21,National,Clinton
No,74.0,35.0,president,White born-again or evangelical Christian?,21,National,Trump
No,74.0,6.0,president,White born-again or evangelical Christian?,21,National,Other/No Answer
Protestant,27.0,37.0,president,Religion,22,National,Clinton
Protestant,27.0,60.0,president,Religion,22,National,Trump
Protestant,27.0,3.0,president,Religion,22,National,Other/No Answer
Catholic,23.0,45.0,president,Religion,22,National,Clinton
Catholic,23.0,52.0,president,Religion,22,National,Trump
Catholic,23.0,3.0,president,Religion,22,National,Other/No Answer
Mormon,1.0,25.0,president,Religion,22,National,Clinton
Mormon,1.0,61.0,president,Religion,22,National,Trump
Mormon,1.0,14.0,president,Religion,22,National,Other/No Answer
Other Christian,24.0,43.0,president,Religion,22,National,Clinton
Other Christian,24.0,55.0,president,Religion,22,National,Trump
Other Christian,24.0,2.0,president,Religion,22,National,Other/No Answer
Jewish,3.0,71.0,president,Religion,22,National,Clinton
Jewish,3.0,24.0,president,Religion,22,National,Trump
Jewish,3.0,5.0,president,Religion,22,National,Other/No Answer
Muslim,1.0,,president,Religion,22,National,Clinton
Muslim,1.0,,president,Religion,22,National,Trump
Muslim,1.0,,president,Religion,22,National,Other/No Answer
Other religion,7.0,58.0,president,Religion,22,National,Clinton
Other religion,7.0,33.0,president,Religion,22,National,Trump
Other religion,7.0,9.0,president,Religion,22,National,Other/No Answer
No religion,15.0,68.0,president,Religion,22,National,Clinton
No religion,15.0,26.0,president,Religion,22,National,Trump
No religion,15.0,6.0,president,Religion,22,National,Other/No Answer
Protestant,52.0,39.0,president,Religion,23,National,Clinton
Protestant,52.0,58.0,president,Religion,23,National,Trump
Protestant,52.0,3.0,president,Religion,23,National,Other/No Answer
Catholic,23.0,45.0,president,Religion,23,National,Clinton
Catholic,23.0,52.0,president,Religion,23,National,Trump
Catholic,23.0,3.0,president,Religion,23,National,Other/No Answer
Jewish,3.0,71.0,president,Religion,23,National,Clinton
Jewish,3.0,24.0,president,Religion,23,National,Trump
Jewish,3.0,5.0,president,Religion,23,National,Other/No Answer
Another religion,8.0,62.0,president,Religion,23,National,Clinton
Another religion,8.0,29.0,president,Religion,23,National,Trump
Another religion,8.0,9.0,president,Religion,23,National,Other/No Answer
No religion,15.0,68.0,president,Religion,23,National,Clinton
No religion,15.0,26.0,president,Religion,23,National,Trump
No religion,15.0,6.0,president,Religion,23,National,Other/No Answer
Weekly or more,33.0,40.0,president,How often do you attend religious services?,24,National,Clinton
Weekly or more,33.0,56.0,president,How often do you attend religious services?,24,National,Trump
Weekly or more,33.0,4.0,president,How often do you attend religious services?,24,National,Other/No Answer
Monthly,16.0,46.0,president,How often do you attend religious services?,24,National,Clinton
Monthly,16.0,49.0,president,How often do you attend religious services?,24,National,Trump
Monthly,16.0,5.0,president,How often do you attend religious services?,24,National,Other/No Answer
Few times a year,29.0,48.0,president,How often do you attend religious services?,24,National,Clinton
Few times a year,29.0,47.0,president,How often do you attend religious services?,24,National,Trump
Few times a year,29.0,5.0,president,How often do you attend religious services?,24,National,Other/No Answer
Never,22.0,62.0,president,How often do you attend religious services?,24,National,Clinton
Never,22.0,31.0,president,How often do you attend religious services?,24,National,Trump
Never,22.0,7.0,president,How often do you attend religious services?,24,National,Other/No Answer
Monthly or more,49.0,42.0,president,How often do you attend religious services?,25,National,Clinton
Monthly or more,49.0,54.0,president,How often do you attend religious services?,25,National,Trump
Monthly or more,49.0,4.0,president,How often do you attend religious services?,25,National,Other/No Answer
Less often than that,51.0,54.0,president,How often do you attend religious services?,25,National,Clinton
Less often than that,51.0,40.0,president,How often do you attend religious services?,25,National,Trump
Less often than that,51.0,6.0,president,How often do you attend religious services?,25,National,Other/No Answer
Yes,18.0,51.0,president,Union household?,26,National,Clinton
Yes,18.0,43.0,president,Union household?,26,National,Trump
Yes,18.0,6.0,president,Union household?,26,National,Other/No Answer
No,82.0,46.0,president,Union household?,26,National,Clinton
No,82.0,49.0,president,Union household?,26,National,Trump
No,82.0,5.0,president,Union household?,26,National,Other/No Answer
Veterans,13.0,34.0,president,Served in the U.S. military,27,National,Clinton
Veterans,13.0,61.0,president,Served in the U.S. military,27,National,Trump
Veterans,13.0,5.0,president,Served in the U.S. military,27,National,Other/No Answer
Non-veterans,87.0,50.0,president,Served in the U.S. military,27,National,Clinton
Non-veterans,87.0,45.0,president,Served in the U.S. military,27,National,Trump
Non-veterans,87.0,5.0,president,Served in the U.S. military,27,National,Other/No Answer
Yes,91.0,45.0,president,Were you born a U.S. citizen?,28,National,Clinton
Yes,91.0,50.0,president,Were you born a U.S. citizen?,28,National,Trump
Yes,91.0,5.0,president,Were you born a U.S. citizen?,28,National,Other/No Answer
No,9.0,64.0,president,Were you born a U.S. citizen?,28,National,Clinton
No,9.0,31.0,president,Were you born a U.S. citizen?,28,National,Trump
No,9.0,5.0,president,Were you born a U.S. citizen?,28,National,Other/No Answer
Yes,10.0,56.0,president,First-time voter?,29,National,Clinton
Yes,10.0,40.0,president,First-time voter?,29,National,Trump
Yes,10.0,4.0,president,First-time voter?,29,National,Other/No Answer
No,90.0,47.0,president,First-time voter?,29,National,Clinton
No,90.0,47.0,president,First-time voter?,29,National,Trump
No,90.0,6.0,president,First-time voter?,29,National,Other/No Answer
Last few days,8.0,44.0,president,When did you decide presidential vote?,30,National,Clinton
Last few days,8.0,46.0,president,When did you decide presidential vote?,30,National,Trump
Last few days,8.0,10.0,president,When did you decide presidential vote?,30,National,Other/No Answer
Last week,6.0,38.0,president,When did you decide presidential vote?,30,National,Clinton
Last week,6.0,50.0,president,When did you decide presidential vote?,30,National,Trump
Last week,6.0,12.0,president,When did you decide presidential vote?,30,National,Other/No Answer
In October,12.0,37.0,president,When did you decide presidential vote?,30,National,Clinton
In October,12.0,51.0,president,When did you decide presidential vote?,30,National,Trump
In October,12.0,12.0,president,When did you decide presidential vote?,30,National,Other/No Answer
In September,13.0,46.0,president,When did you decide presidential vote?,30,National,Clinton
In September,13.0,50.0,president,When did you decide presidential vote?,30,National,Trump
In September,13.0,4.0,president,When did you decide presidential vote?,30,National,Other/No Answer
Before September,60.0,52.0,president,When did you decide presidential vote?,30,National,Clinton
Before September,60.0,45.0,president,When did you decide presidential vote?,30,National,Trump
Before September,60.0,3.0,president,When did you decide presidential vote?,30,National,Other/No Answer
In the last week,13.0,42.0,president,When did you decide presidential vote?,31,National,Clinton
In the last week,13.0,47.0,president,When did you decide presidential vote?,31,National,Trump
In the last week,13.0,11.0,president,When did you decide presidential vote?,31,National,Other/No Answer
Before that,85.0,49.0,president,When did you decide presidential vote?,31,National,Clinton
Before that,85.0,47.0,president,When did you decide presidential vote?,31,National,Trump
Before that,85.0,4.0,president,When did you decide presidential vote?,31,National,Other/No Answer
In the last month,26.0,39.0,president,When did you decide presidential vote?,32,National,Clinton
In the last month,26.0,49.0,president,When did you decide presidential vote?,32,National,Trump
In the last month,26.0,12.0,president,When did you decide presidential vote?,32,National,Other/No Answer
Before that,73.0,51.0,president,When did you decide presidential vote?,32,National,Clinton
Before that,73.0,46.0,president,When did you decide presidential vote?,32,National,Trump
Before that,73.0,3.0,president,When did you decide presidential vote?,32,National,Other/No Answer
Strongly favor ,41.0,53.0,president,Opinion of presidential candidate you voted for,33,National,Clinton
Strongly favor ,41.0,42.0,president,Opinion of presidential candidate you voted for,33,National,Trump
Strongly favor ,41.0,5.0,president,Opinion of presidential candidate you voted for,33,National,Other/No Answer
Have reservations,32.0,48.0,president,Opinion of presidential candidate you voted for,33,National,Clinton
Have reservations,32.0,49.0,president,Opinion of presidential candidate you voted for,33,National,Trump
Have reservations,32.0,3.0,president,Opinion of presidential candidate you voted for,33,National,Other/No Answer
Dislike opponents,25.0,39.0,president,Opinion of presidential candidate you voted for,33,National,Clinton
Dislike opponents,25.0,51.0,president,Opinion of presidential candidate you voted for,33,National,Trump
Dislike opponents,25.0,10.0,president,Opinion of presidential candidate you voted for,33,National,Other/No Answer
Foreign policy,13.0,60.0,president,Most important issue facing the country,34,National,Clinton
Foreign policy,13.0,34.0,president,Most important issue facing the country,34,National,Trump
Foreign policy,13.0,6.0,president,Most important issue facing the country,34,National,Other/No Answer
Immigration,13.0,32.0,president,Most important issue facing the country,34,National,Clinton
Immigration,13.0,64.0,president,Most important issue facing the country,34,National,Trump
Immigration,13.0,4.0,president,Most important issue facing the country,34,National,Other/No Answer
Economy,52.0,52.0,president,Most important issue facing the country,34,National,Clinton
Economy,52.0,42.0,president,Most important issue facing the country,34,National,Trump
Economy,52.0,6.0,president,Most important issue facing the country,34,National,Other/No Answer
Terrorism,18.0,39.0,president,Most important issue facing the country,34,National,Clinton
Terrorism,18.0,57.0,president,Most important issue facing the country,34,National,Trump
Terrorism,18.0,4.0,president,Most important issue facing the country,34,National,Other/No Answer
Cares about me,15.0,58.0,president,Which candidate quality mattered most?,35,National,Clinton
Cares about me,15.0,35.0,president,Which candidate quality mattered most?,35,National,Trump
Cares about me,15.0,7.0,president,Which candidate quality mattered most?,35,National,Other/No Answer
Can bring change,39.0,14.0,president,Which candidate quality mattered most?,35,National,Clinton
Can bring change,39.0,83.0,president,Which candidate quality mattered most?,35,National,Trump
Can bring change,39.0,3.0,president,Which candidate quality mattered most?,35,National,Other/No Answer
Right experience,21.0,90.0,president,Which candidate quality mattered most?,35,National,Clinton
Right experience,21.0,8.0,president,Which candidate quality mattered most?,35,National,Trump
Right experience,21.0,2.0,president,Which candidate quality mattered most?,35,National,Other/No Answer
Good judgment,20.0,66.0,president,Which candidate quality mattered most?,35,National,Clinton
Good judgment,20.0,26.0,president,Which candidate quality mattered most?,35,National,Trump
Good judgment,20.0,8.0,president,Which candidate quality mattered most?,35,National,Other/No Answer
Offered legal status,70.0,60.0,president,Illegal immigrants working in the U.S. should be:,36,National,Clinton
Offered legal status,70.0,34.0,president,Illegal immigrants working in the U.S. should be:,36,National,Trump
Offered legal status,70.0,6.0,president,Illegal immigrants working in the U.S. should be:,36,National,Other/No Answer
Deported to home country,25.0,14.0,president,Illegal immigrants working in the U.S. should be:,36,National,Clinton
Deported to home country,25.0,84.0,president,Illegal immigrants working in the U.S. should be:,36,National,Trump
Deported to home country,25.0,2.0,president,Illegal immigrants working in the U.S. should be:,36,National,Other/No Answer
Support,41.0,10.0,president,View of U.S. wall along the entire Mexican border,37,National,Clinton
Support,41.0,86.0,president,View of U.S. wall along the entire Mexican border,37,National,Trump
Support,41.0,4.0,president,View of U.S. wall along the entire Mexican border,37,National,Other/No Answer
Oppose,54.0,76.0,president,View of U.S. wall along the entire Mexican border,37,National,Clinton
Oppose,54.0,17.0,president,View of U.S. wall along the entire Mexican border,37,National,Trump
Oppose,54.0,7.0,president,View of U.S. wall along the entire Mexican border,37,National,Other/No Answer
Creates U.S. jobs,38.0,59.0,president,Effect of international trade,38,National,Clinton
Creates U.S. jobs,38.0,35.0,president,Effect of international trade,38,National,Trump
Creates U.S. jobs,38.0,6.0,president,Effect of international trade,38,National,Other/No Answer
Takes away U.S. jobs,42.0,31.0,president,Effect of international trade,38,National,Clinton
Takes away U.S. jobs,42.0,65.0,president,Effect of international trade,38,National,Trump
Takes away U.S. jobs,42.0,4.0,president,Effect of international trade,38,National,Other/No Answer
Does not affect jobs,11.0,63.0,president,Effect of international trade,38,National,Clinton
Does not affect jobs,11.0,30.0,president,Effect of international trade,38,National,Trump
Does not affect jobs,11.0,7.0,president,Effect of international trade,38,National,Other/No Answer
Very well,6.0,85.0,president,How is the fight against ISIS going?,39,National,Clinton
Very well,6.0,11.0,president,How is the fight against ISIS going?,39,National,Trump
Very well,6.0,4.0,president,How is the fight against ISIS going?,39,National,Other/No Answer
Somewhat well,36.0,70.0,president,How is the fight against ISIS going?,39,National,Clinton
Somewhat well,36.0,24.0,president,How is the fight against ISIS going?,39,National,Trump
