ballot_measure_type,choice,is_winner,reporting_pct,state,summary,title,vote_pct,votes
Overall 2016 Arizona Ballot Measures Election Results,No,True,100.0,Arizona,"Establishes a 15% tax on retail marijuana sales, allocated to public health and education.",Legalize Marijuana,51.9,1057839
Overall 2016 Arizona Ballot Measures Election Results,Yes,False,100.0,Arizona,"Establishes a 15% tax on retail marijuana sales, allocated to public health and education.",Legalize Marijuana,48.1,978433
Overall 2016 Arizona Ballot Measures Election Results,Yes,True,100.0,Arizona,Increases minimum wage to $10 in 2017 then gradually to $12 by 2020.,Increase Minimum Wage,58.9,1191336
Overall 2016 Arizona Ballot Measures Election Results,No,False,100.0,Arizona,Increases minimum wage to $10 in 2017 then gradually to $12 by 2020.,Increase Minimum Wage,41.1,829802
State Ballot Measures,No,True,100.0,Arizona,"Establishes a 15% tax on retail marijuana sales, allocated to public health and education.",Legalize Marijuana,51.9,1057839
State Ballot Measures,Yes,False,100.0,Arizona,"Establishes a 15% tax on retail marijuana sales, allocated to public health and education.",Legalize Marijuana,48.1,978433
State Ballot Measures,Yes,True,100.0,Arizona,Increases minimum wage to $10 in 2017 then gradually to $12 by 2020.,Increase Minimum Wage,58.9,1191336
State Ballot Measures,No,False,100.0,Arizona,Increases minimum wage to $10 in 2017 then gradually to $12 by 2020.,Increase Minimum Wage,41.1,829802
Overall 2016 Arkansas Ballot Measures Election Results,For,True,100.0,Arkansas,Allows the medical use of marijuana legal under Arkansas state law.,Medical Cannabis Act,53.2,581259
Overall 2016 Arkansas Ballot Measures Election Results,Against,False,100.0,Arkansas,Allows the medical use of marijuana legal under Arkansas state law.,Medical Cannabis Act,46.8,511977
State Ballot Measures,For,True,100.0,Arkansas,Concerns term limits for members of the Arkansas General Assembly.,Amend Term Limits and Rules,70.2,742110
State Ballot Measures,Against,False,100.0,Arkansas,Concerns term limits for members of the Arkansas General Assembly.,Amend Term Limits and Rules,29.8,314804
State Ballot Measures,For,True,100.0,Arkansas,Allows the governor to retain his or her powers and duties when absent from the state.,Absent Gov Retains Power,72.5,776139
State Ballot Measures,Against,False,100.0,Arkansas,Allows the governor to retain his or her powers and duties when absent from the state.,Absent Gov Retains Power,27.5,294758
State Ballot Measures,For,True,100.0,Arkansas,Removes the cap on the amount of bonds the state is allowed to issue.,Development Bonds,65.4,685808
State Ballot Measures,Against,False,100.0,Arkansas,Removes the cap on the amount of bonds the state is allowed to issue.,Development Bonds,34.6,363533
State Ballot Measures,For,True,100.0,Arkansas,Allows the medical use of marijuana legal under Arkansas state law.,Medical Cannabis Act,53.2,581259
State Ballot Measures,Against,False,100.0,Arkansas,Allows the medical use of marijuana legal under Arkansas state law.,Medical Cannabis Act,46.8,511977
Overall 2016 California Ballot Measures Election Results,No,True,100.0,California,"Proposition 60 is a vote on requiring the use of condoms in the filming of pornographic films, along with requiring producers to pay for certain health procedures.",Adult Film Health Regulation,54.0,4646782
Overall 2016 California Ballot Measures Election Results,Yes,False,100.0,California,"Proposition 60 is a vote on requiring the use of condoms in the filming of pornographic films, along with requiring producers to pay for certain health procedures.",Adult Film Health Regulation,46.0,3962519
Overall 2016 California Ballot Measures Election Results,Yes,True,100.0,California,Proposition 63 is a vote on banning large-capacity ammunition magazines and requiring a background check to purchase ammo.,Gun Control Measures,62.6,5562229
Overall 2016 California Ballot Measures Election Results,No,False,100.0,California,Proposition 63 is a vote on banning large-capacity ammunition magazines and requiring a background check to purchase ammo.,Gun Control Measures,37.4,3316958
Overall 2016 California Ballot Measures Election Results,Yes,True,100.0,California,"Increases cigarette tax by $2.00 per pack, allocates revenues primarily to increase funding for existing health-care programs.",Tobacco Tax Increase,63.0,5669512
Overall 2016 California Ballot Measures Election Results,No,False,100.0,California,"Increases cigarette tax by $2.00 per pack, allocates revenues primarily to increase funding for existing health-care programs.",Tobacco Tax Increase,37.0,3329242
Overall 2016 California Ballot Measures Election Results,Yes,True,100.0,California,Preserves requirement that public schools ensure students become proficient in English.,Bilingual Ed,72.5,6372619
Overall 2016 California Ballot Measures Election Results,No,False,100.0,California,Preserves requirement that public schools ensure students become proficient in English.,Bilingual Ed,27.5,2420365
Overall 2016 California Ballot Measures Election Results,No,True,100.0,California,Prohibits state agencies from buying any prescription drug from a manufacturer at any price over the lowest price paid for the same drug by the USVA.,Drug Price Standards,53.8,4663009
Overall 2016 California Ballot Measures Election Results,Yes,False,100.0,California,Prohibits state agencies from buying any prescription drug from a manufacturer at any price over the lowest price paid for the same drug by the USVA.,Drug Price Standards,46.2,4008374
Overall 2016 California Ballot Measures Election Results,No,True,100.0,California,Repeal the state death penalty and replace the maximum punishment for murder with life in prison without possibility of parole.,Death Penalty Repeal,53.9,4741204
Overall 2016 California Ballot Measures Election Results,Yes,False,100.0,California,Repeal the state death penalty and replace the maximum punishment for murder with life in prison without possibility of parole.,Death Penalty Repeal,46.1,4052829
Overall 2016 California Ballot Measures Election Results,Yes,True,100.0,California,Proposition 64 is a vote on legalizing the recreational sale and use of marijuana for persons 21 and older and taxing it.,Legalize Recreational Marijuana Use,56.1,5058404
Overall 2016 California Ballot Measures Election Results,No,False,100.0,California,Proposition 64 is a vote on legalizing the recreational sale and use of marijuana for persons 21 and older and taxing it.,Legalize Recreational Marijuana Use,43.9,3963575
State Ballot Measures,Yes,True,100.0,California,Proposition 51 is a vote on issuing $9 billion in education bonds.,School Bonds,54.0,4755659
State Ballot Measures,No,False,100.0,California,Proposition 51 is a vote on issuing $9 billion in education bonds.,School Bonds,46.0,4055559
State Ballot Measures,Yes,True,100.0,California,Proposition 52 is a vote that would require future voter approval to change the dedicated use of hospital fees.,Hospital Fees Revenue,69.6,6070190
State Ballot Measures,No,False,100.0,California,Proposition 52 is a vote that would require future voter approval to change the dedicated use of hospital fees.,Hospital Fees Revenue,30.4,2649653
State Ballot Measures,No,True,100.0,California,"Proposition 60 is a vote on requiring the use of condoms in the filming of pornographic films, along with requiring producers to pay for certain health procedures.",Adult Film Health Regulation,54.0,4646782
State Ballot Measures,Yes,False,100.0,California,"Proposition 60 is a vote on requiring the use of condoms in the filming of pornographic films, along with requiring producers to pay for certain health procedures.",Adult Film Health Regulation,46.0,3962519
State Ballot Measures,Yes,True,100.0,California,Proposition 63 is a vote on banning large-capacity ammunition magazines and requiring a background check to purchase ammo.,Gun Control Measures,62.6,5562229
State Ballot Measures,No,False,100.0,California,Proposition 63 is a vote on banning large-capacity ammunition magazines and requiring a background check to purchase ammo.,Gun Control Measures,37.4,3316958
State Ballot Measures,No,False,100.0,California,Proposition 53 is a vote that would require voter approval before the state could issue more than $2 billion in public infrastructure bonds.,Approve Revenue Bonds,51.4,4395143
State Ballot Measures,Yes,False,100.0,California,Proposition 53 is a vote that would require voter approval before the state could issue more than $2 billion in public infrastructure bonds.,Approve Revenue Bonds,48.6,4154094
State Ballot Measures,Yes,True,100.0,California,"Prohibits Legislature from passing a bill unless it has been in print and published online for at least 72 hours before vote, except for public emergencies.",Public Display of Legislative Bills Prior to Vote,64.3,5488827
State Ballot Measures,No,False,100.0,California,"Prohibits Legislature from passing a bill unless it has been in print and published online for at least 72 hours before vote, except for public emergencies.",Public Display of Legislative Bills Prior to Vote,35.7,3044859
State Ballot Measures,Yes,True,100.0,California,"Extends by 12 years personal income tax increases on earnings over $250,000; allocates revenues 89% to K-12 schools and 11% to California Community Colleges.",Income Tax Increase Initiative,62.1,5458657
State Ballot Measures,No,False,100.0,California,"Extends by 12 years personal income tax increases on earnings over $250,000; allocates revenues 89% to K-12 schools and 11% to California Community Colleges.",Income Tax Increase Initiative,37.9,3327900
State Ballot Measures,Yes,True,100.0,California,"Increases cigarette tax by $2.00 per pack, allocates revenues primarily to increase funding for existing health-care programs.",Tobacco Tax Increase,63.0,5669512
State Ballot Measures,No,False,100.0,California,"Increases cigarette tax by $2.00 per pack, allocates revenues primarily to increase funding for existing health-care programs.",Tobacco Tax Increase,37.0,3329242
State Ballot Measures,Yes,True,100.0,California,Allows parole consideration for nonviolent felons.,Criminal Sentencing Regs,63.6,5612691
State Ballot Measures,No,False,100.0,California,Allows parole consideration for nonviolent felons.,Criminal Sentencing Regs,36.4,3210992
State Ballot Measures,Yes,True,100.0,California,Preserves requirement that public schools ensure students become proficient in English.,Bilingual Ed,72.5,6372619
State Ballot Measures,No,False,100.0,California,Preserves requirement that public schools ensure students become proficient in English.,Bilingual Ed,27.5,2420365
State Ballot Measures,Yes,True,100.0,California,Proposal to overturn Citizens United v. Federal Election Commission to allow the full regulation or limitation of campaign contributions and spending.,Overturn Citizens United (Political Spending),52.4,4382702
State Ballot Measures,No,False,100.0,California,Proposal to overturn Citizens United v. Federal Election Commission to allow the full regulation or limitation of campaign contributions and spending.,Overturn Citizens United (Political Spending),47.6,3983814
State Ballot Measures,No,True,100.0,California,Prohibits state agencies from buying any prescription drug from a manufacturer at any price over the lowest price paid for the same drug by the USVA.,Drug Price Standards,53.8,4663009
State Ballot Measures,Yes,False,100.0,California,Prohibits state agencies from buying any prescription drug from a manufacturer at any price over the lowest price paid for the same drug by the USVA.,Drug Price Standards,46.2,4008374
State Ballot Measures,No,True,100.0,California,Repeal the state death penalty and replace the maximum punishment for murder with life in prison without possibility of parole.,Death Penalty Repeal,53.9,4741204
State Ballot Measures,Yes,False,100.0,California,Repeal the state death penalty and replace the maximum punishment for murder with life in prison without possibility of parole.,Death Penalty Repeal,46.1,4052829
State Ballot Measures,Yes,True,100.0,California,Proposition 64 is a vote on legalizing the recreational sale and use of marijuana for persons 21 and older and taxing it.,Legalize Recreational Marijuana Use,56.1,5058404
State Ballot Measures,No,False,100.0,California,Proposition 64 is a vote on legalizing the recreational sale and use of marijuana for persons 21 and older and taxing it.,Legalize Recreational Marijuana Use,43.9,3963575
State Ballot Measures,No,True,100.0,California,Proposition 65 is a vote on directing fees collected from the sale of plastic bags  to a fund administered by the Wildlife Conservation Board.,out Bags Fees,55.3,4832070
State Ballot Measures,Yes,False,100.0,California,Proposition 65 is a vote on directing fees collected from the sale of plastic bags  to a fund administered by the Wildlife Conservation Board.,out Bags Fees,44.7,3902793
State Ballot Measures,Yes,False,100.0,California,"Proposition 62 is a vote on banning the death penalty, making life without parole the maximum possible sentence.",Repealing the Death Penalty,50.9,4294193
State Ballot Measures,No,False,100.0,California,"Proposition 62 is a vote on banning the death penalty, making life without parole the maximum possible sentence.",Repealing the Death Penalty,49.1,4136993
State Ballot Measures,Yes,True,100.0,California,Proposition 67 is a vote on banning the sale of single-use plastic bags.,Banning Plastic Bags,52.0,4567346
State Ballot Measures,No,False,100.0,California,Proposition 67 is a vote on banning the sale of single-use plastic bags.,Banning Plastic Bags,48.0,4214850
Overall 2016 Colorado Ballot Measures Election Results,No,True,100.0,Colorado,"Amendment 69 is a vote on creating ColoradoCare, a system designed to provide universal healthcare for Colorado residents.",State Healthcare System,79.4,1964755
Overall 2016 Colorado Ballot Measures Election Results,Yes,False,100.0,Colorado,"Amendment 69 is a vote on creating ColoradoCare, a system designed to provide universal healthcare for Colorado residents.",State Healthcare System,20.6,509629
Overall 2016 Colorado Ballot Measures Election Results,Yes,True,100.0,Colorado,Amendment 70 is a vote on raising the minimum wage to $9.30 in 2017 and to $12.00 by 2020.,Increase Minimum Wage,54.6,1381245
Overall 2016 Colorado Ballot Measures Election Results,No,False,100.0,Colorado,Amendment 70 is a vote on raising the minimum wage to $9.30 in 2017 and to $12.00 by 2020.,Increase Minimum Wage,45.4,1147634
Overall 2016 Colorado Ballot Measures Election Results,No,True,100.0,Colorado,Amendment 72 proposes a $1.75 tax increase on cigarettes per pack of 20.,Increase Tobacco Taxes,53.5,1354342
Overall 2016 Colorado Ballot Measures Election Results,Yes,False,100.0,Colorado,Amendment 72 proposes a $1.75 tax increase on cigarettes per pack of 20.,Increase Tobacco Taxes,46.5,1175416
Overall 2016 Colorado Ballot Measures Election Results,Yes,True,100.0,Colorado,"The proposed End of Life Options Act, if approved, would legalize the option of assisted death for terminally ill patients who have six months or less to live.",Medical Aid in Dying,64.6,1622198
Overall 2016 Colorado Ballot Measures Election Results,No,False,100.0,Colorado,"The proposed End of Life Options Act, if approved, would legalize the option of assisted death for terminally ill patients who have six months or less to live.",Medical Aid in Dying,35.4,888991
Overall 2016 Colorado Ballot Measures Election Results,Yes,True,100.0,Colorado,Proposition 108 is a vote on allowing unaffiliated voters to vote in primary elections.,Allowing Unaffiliated Voters in Presidential Primaries,63.8,1564524
Overall 2016 Colorado Ballot Measures Election Results,No,False,100.0,Colorado,Proposition 108 is a vote on allowing unaffiliated voters to vote in primary elections.,Allowing Unaffiliated Voters in Presidential Primaries,36.2,886834
State Ballot Measures,No,False,100.0,Colorado,"Amendment T is a vote on removing a clause in the state constitution that allows for forced, unpaid labor by convicted criminals.",No Involuntary Servitude,50.8,1211229
State Ballot Measures,Yes,False,100.0,Colorado,"Amendment T is a vote on removing a clause in the state constitution that allows for forced, unpaid labor by convicted criminals.",No Involuntary Servitude,49.2,1174152
State Ballot Measures,No,True,100.0,Colorado,"Amendment U is a vote on exempting from taxation possessory interests valued less than $6,000.",Property Tax Exemption,56.6,1316323
State Ballot Measures,Yes,False,100.0,Colorado,"Amendment U is a vote on exempting from taxation possessory interests valued less than $6,000.",Property Tax Exemption,43.4,1011232
State Ballot Measures,No,True,100.0,Colorado,"Amendment 69 is a vote on creating ColoradoCare, a system designed to provide universal healthcare for Colorado residents.",State Healthcare System,79.4,1964755
State Ballot Measures,Yes,False,100.0,Colorado,"Amendment 69 is a vote on creating ColoradoCare, a system designed to provide universal healthcare for Colorado residents.",State Healthcare System,20.6,509629
State Ballot Measures,Yes,True,100.0,Colorado,Amendment 70 is a vote on raising the minimum wage to $9.30 in 2017 and to $12.00 by 2020.,Increase Minimum Wage,54.6,1381245
State Ballot Measures,No,False,100.0,Colorado,Amendment 70 is a vote on raising the minimum wage to $9.30 in 2017 and to $12.00 by 2020.,Increase Minimum Wage,45.4,1147634
State Ballot Measures,Yes,True,100.0,Colorado,Amendment 71 is a vote that imposes stricter requirements for future constitutional ballot votes.,Constitutional Initiatives,56.4,1382087
State Ballot Measures,No,False,100.0,Colorado,Amendment 71 is a vote that imposes stricter requirements for future constitutional ballot votes.,Constitutional Initiatives,43.6,1068246
State Ballot Measures,No,True,100.0,Colorado,Amendment 72 proposes a $1.75 tax increase on cigarettes per pack of 20.,Increase Tobacco Taxes,53.5,1354342
State Ballot Measures,Yes,False,100.0,Colorado,Amendment 72 proposes a $1.75 tax increase on cigarettes per pack of 20.,Increase Tobacco Taxes,46.5,1175416
State Ballot Measures,Yes,True,100.0,Colorado,"The proposed End of Life Options Act, if approved, would legalize the option of assisted death for terminally ill patients who have six months or less to live.",Medical Aid in Dying,64.6,1622198
State Ballot Measures,No,False,100.0,Colorado,"The proposed End of Life Options Act, if approved, would legalize the option of assisted death for terminally ill patients who have six months or less to live.",Medical Aid in Dying,35.4,888991
State Ballot Measures,Yes,True,100.0,Colorado,Proposition 108 is a vote on allowing unaffiliated voters to vote in primary elections.,Allowing Unaffiliated Voters in Presidential Primaries,63.8,1564524
State Ballot Measures,No,False,100.0,Colorado,Proposition 108 is a vote on allowing unaffiliated voters to vote in primary elections.,Allowing Unaffiliated Voters in Presidential Primaries,36.2,886834
State Ballot Measures,Yes,True,100.0,Colorado,Proposition 107 is a vote on making presidential primaries open in Colorado.,Expand Unaffiliated Voting,52.7,1279897
State Ballot Measures,No,False,100.0,Colorado,Proposition 107 is a vote on making presidential primaries open in Colorado.,Expand Unaffiliated Voting,47.3,1146967
Overall 2016 District of Columbia Ballot Measures Election Results,Yes,True,100.0,District of Columbia,"The statehood referendum asks D.C. residents whether or not the Washington, D.C. City Council should approve the proposal of statehood and subsequently petition Congress for statehood admission.",Petition Congress for Statehood,85.8,227562
Overall 2016 District of Columbia Ballot Measures Election Results,No,False,100.0,District of Columbia,"The statehood referendum asks D.C. residents whether or not the Washington, D.C. City Council should approve the proposal of statehood and subsequently petition Congress for statehood admission.",Petition Congress for Statehood,14.2,37558
State Ballot Measures,Yes,True,100.0,District of Columbia,"The statehood referendum asks D.C. residents whether or not the Washington, D.C. City Council should approve the proposal of statehood and subsequently petition Congress for statehood admission.",Petition Congress for Statehood,85.8,227562
State Ballot Measures,No,False,100.0,District of Columbia,"The statehood referendum asks D.C. residents whether or not the Washington, D.C. City Council should approve the proposal of statehood and subsequently petition Congress for statehood admission.",Petition Congress for Statehood,14.2,37558
Overall 2016 Florida Ballot Measures Election Results,Yes,True,100.0,Florida,Amendment 2 concerns the legalization of medical marijuana in Florida for people with specific diseases or conditions.,Medical Marijuana,71.3,6496157
Overall 2016 Florida Ballot Measures Election Results,No,False,100.0,Florida,Amendment 2 concerns the legalization of medical marijuana in Florida for people with specific diseases or conditions.,Medical Marijuana,28.7,2616128
State Ballot Measures,Yes,True,100.0,Florida,Amendment 2 concerns the legalization of medical marijuana in Florida for people with specific diseases or conditions.,Medical Marijuana,71.3,6496157
State Ballot Measures,No,False,100.0,Florida,Amendment 2 concerns the legalization of medical marijuana in Florida for people with specific diseases or conditions.,Medical Marijuana,28.7,2616128
State Ballot Measures,No,True,100.0,Florida,Approving Amendment 1 would constitutionalize a Floridian's right to own or lease solar energy equipment for personal use.,Solar Electricity Rights,49.2,4406583
State Ballot Measures,Yes,False,100.0,Florida,Approving Amendment 1 would constitutionalize a Floridian's right to own or lease solar energy equipment for personal use.,Solar Electricity Rights,50.8,4544601
State Ballot Measures,Yes,True,100.0,Florida,Amendment 3 asks voters to decide whether first responders who have been permanently disabled while serving should be provided property tax exemptions.,First Responders Tax Cut,83.8,7472603
State Ballot Measures,No,False,100.0,Florida,Amendment 3 asks voters to decide whether first responders who have been permanently disabled while serving should be provided property tax exemptions.,First Responders Tax Cut,16.2,1447741
State Ballot Measures,Yes,True,100.0,Florida,"Amendment 5 asks voters whether or not tax regulations should be revised to have the value of a property owned by low-income, senior citizens determined within the first year of eligibility for the homestead tax exemption.",Revise Homestead Tax,78.3,6871007
State Ballot Measures,No,False,100.0,Florida,"Amendment 5 asks voters whether or not tax regulations should be revised to have the value of a property owned by low-income, senior citizens determined within the first year of eligibility for the homestead tax exemption.",Revise Homestead Tax,21.7,1905161
Overall 2016 Georgia Ballot Measures Election Results,No,True,100.0,Georgia,Amendment 1 would allow the state to create an Opportunity School District to oversee elementary and secondary schools.,Failing Schools,60.1,2386252
Overall 2016 Georgia Ballot Measures Election Results,Yes,False,100.0,Georgia,Amendment 1 would allow the state to create an Opportunity School District to oversee elementary and secondary schools.,Failing Schools,39.9,1586977
State Ballot Measures,Yes,True,100.0,Georgia,"If approved, revenue from taxes on fireworks sales would be directed to trauma care, fire protection services and public safety.",Fireworks Tax,81.1,3156826
State Ballot Measures,No,False,100.0,Georgia,"If approved, revenue from taxes on fireworks sales would be directed to trauma care, fire protection services and public safety.",Fireworks Tax,18.9,735351
State Ballot Measures,No,True,100.0,Georgia,Amendment 1 would allow the state to create an Opportunity School District to oversee elementary and secondary schools.,Failing Schools,60.1,2386252
State Ballot Measures,Yes,False,100.0,Georgia,Amendment 1 would allow the state to create an Opportunity School District to oversee elementary and secondary schools.,Failing Schools,39.9,1586977
State Ballot Measures,Yes,True,100.0,Georgia,Amendment 2 would impose additional penalties in court cases where a person is found guilty of particular sex crimes. Such fees would generate revenue which would be allocated to the Safe Harbor for Sexually Exploited Children Fund.,Safe Harbor Fund,83.3,3264867
State Ballot Measures,No,False,100.0,Georgia,Amendment 2 would impose additional penalties in court cases where a person is found guilty of particular sex crimes. Such fees would generate revenue which would be allocated to the Safe Harbor for Sexually Exploited Children Fund.,Safe Harbor Fund,16.7,656184
State Ballot Measures,Yes,True,100.0,Georgia,Approval of Amendment 3 would result in the replacement of the Judicial Qualifications Commission with a new entity created by the state's general assembly.,Judicial Qualifications,62.5,2307583
State Ballot Measures,No,False,100.0,Georgia,Approval of Amendment 3 would result in the replacement of the Judicial Qualifications Commission with a new entity created by the state's general assembly.,Judicial Qualifications,37.5,1386175
Overall 2016 Hawaii Ballot Measures Election Results,Yes,False,100.0,Hawaii,"Approval of the amendment to the state's constitution would change the threshold value from $5,000 to $10,000 for the controversy requirement for jury trials in civil cases at common law.",Jury Trials Civil Cases,52.1,190326
Overall 2016 Hawaii Ballot Measures Election Results,No,False,100.0,Hawaii,"Approval of the amendment to the state's constitution would change the threshold value from $5,000 to $10,000 for the controversy requirement for jury trials in civil cases at common law.",Jury Trials Civil Cases,47.9,174901
State Ballot Measures,Yes,False,100.0,Hawaii,"Approval of the amendment to the state's constitution would change the threshold value from $5,000 to $10,000 for the controversy requirement for jury trials in civil cases at common law.",Jury Trials Civil Cases,52.1,190326
State Ballot Measures,No,False,100.0,Hawaii,"Approval of the amendment to the state's constitution would change the threshold value from $5,000 to $10,000 for the controversy requirement for jury trials in civil cases at common law.",Jury Trials Civil Cases,47.9,174901
State Ballot Measures,Yes,False,100.0,Hawaii,Approval of Amendment 2 would allow for the state's excess general funds to be used to pre-pay obligation bonds and pensions.,Excess Revenues,58.2,206990
State Ballot Measures,No,False,100.0,Hawaii,Approval of Amendment 2 would allow for the state's excess general funds to be used to pre-pay obligation bonds and pensions.,Excess Revenues,41.8,148494
Overall 2016 Idaho Ballot Measures Election Results,Yes,True,98.2,Idaho,"Approval of this measure would constitutionalize the legislature's authority to review, approve, and reject administrative rules.",Agency Rules,55.6,341971
Overall 2016 Idaho Ballot Measures Election Results,No,False,98.2,Idaho,"Approval of this measure would constitutionalize the legislature's authority to review, approve, and reject administrative rules.",Agency Rules,44.4,272775
State Ballot Measures,Yes,True,98.2,Idaho,"Approval of this measure would constitutionalize the legislature's authority to review, approve, and reject administrative rules.",Agency Rules,55.6,341971
State Ballot Measures,No,False,98.2,Idaho,"Approval of this measure would constitutionalize the legislature's authority to review, approve, and reject administrative rules.",Agency Rules,44.4,272775
Overall 2016 Illinois Ballot Measures Election Results,Yes,True,99.1,Illinois,Approval of this amendment would ensure that Illinois transportation funds are only used for intended purposes.,Revenue for Transportation,78.9,3703153
Overall 2016 Illinois Ballot Measures Election Results,No,False,99.1,Illinois,Approval of this amendment would ensure that Illinois transportation funds are only used for intended purposes.,Revenue for Transportation,21.1,988861
